Wyszczegolnienie,min,max
"obiekty zabytkowe, rekonstrukcje, obiekty wymagaj¹cy prowadzania robót konserwatorskich",20,40
obiekty w strefie ochrony konserwatorskiej,5,10
obiekty w strefach krajobrazu chronionego,5,10
obiekty w parkach krajobrazowych,10,20
obiekty na szkodach górniczych,10,20
"obiekty na zboczach lub w s¹siedztwie skarp, osuwisk itp",5,10
"obiekty wymagaj¹ce fundamentów g³êbokich, specjalnych, posadowienia na palach lub specjalnych zabezpieczeñ wykopów ze wzglêdu na zabudowê s¹siaduj¹c¹ lub nap³yw wody",5,10
obiekty daj¹ce intensywnoœæ zabudowy dzia³ki pomiêdzy 3 – 4,3,5
obiekty daj¹ce intensywnoœæ zabudowy dzia³ki pomiêdzy 4 – 5,5,10
obiekty daj¹ce intensywnoœæ zabudowy dzia³ki powy¿ej 5,10,20
dobudowy,10,15
rozbudowy,15,20
przebudowy,25,50
modernizacje,25,50
obiekty oddawane w u¿ytkowanie etapowo (podzia³ na etapy w ramach jedne-go obiektu),3,10
zespo³y obiektów oddawanych w u¿ytkowanie etapowo,2,5
jeœli wymagana jest klimatyzacja,5,8
jeœli wymagana jest instalacja kontroli dostêpu i dozoru,2,3
jeœli wymagany jest system BMS,3,5
jeœli wymagany jest projekt wnêtrz,10,30
jeœli wymagane s¹ projekty indywidualnego umeblowania i wyposa¿enia,5,25
je¿eli wymagane s¹, lub wynikaj¹ z projektu (np. konkursowego) projekty dzie³ sztuki, bêd¹cych integraln¹ czêœci¹ projektu,5,25
rozszerzenie zakresu specyfikacji o wymagania dotycz¹ce materia³ów, wyro-bów i standardów wykonania (w³aœciwoœci wykonania) robót budowlanych o wymagania dotycz¹ce sprzêtu i maszyn, œrodków transportu, okreœlenie za-sad kontroli, badañ i odbioru wyrobów i robót budowlanych, okreœlenie zasad rozliczania i obmiaru robót1,5,10
opracowanie przedmiaru robót,3,5
opracowanie kosztorysu,3,5
opracowanie projektu zagospodarowania placu budowy,2,3
